product_name,brand,price,features
iPhone 15,Apple,799,"A16 Bionic chip, Dual-camera, iOS 17"
iPhone 14 Pro Max,Apple,999,"A16 Bionic, ProMotion 120Hz, Dynamic Island"
iPhone 13 Mini,Apple,599,"A15 Bionic chip, compact design, dual camera"
Samsung Galaxy S21,Samsung,699,"Dynamic AMOLED, Triple Camera, Android 13"
Samsung Galaxy S22 Ultra,Samsung,1099,"S Pen, 108MP camera, Snapdragon 8 Gen 1"
Samsung Galaxy A53,Samsung,449,"Super AMOLED, 64MP camera, 5000mAh battery"
OnePlus 11,OnePlus,649,"Snapdragon 8 Gen 2, 100W Charging, OxygenOS"
OnePlus Nord 2T,OnePlus,399,"Dimensity 1300, 80W Charging, AMOLED"
OnePlus 10 Pro,OnePlus,799,"Snapdragon 8 Gen 1, QHD+ Display, 80W Warp"
Pixel 7,Google,599,"Tensor G2 chip, Pure Android, 90Hz display"
Pixel 7 Pro,Google,899,"Tensor G2, 120Hz display, Triple Camera"
Pixel 6a,Google,449,"Tensor, Compact design, 60Hz OLED"
Redmi Note 12,Redmi,249,"Snapdragon 685, AMOLED Display, 5000mAh battery"
Redmi K50i,Xiaomi,329,"Dimensity 8100, 144Hz LCD, 5080mAh battery"
Redmi 12,Xiaomi,199,"Helio G88, 90Hz Display, Budget friendly"
Mi 11 Ultra,Xiaomi,749,"Snapdragon 888, 120X zoom, 5000mAh battery"
Poco X5 Pro,Xiaomi,299,"Snapdragon 778G, 120Hz AMOLED, Dolby Vision"
Poco F5,Xiaomi,399,"Snapdragon 7+ Gen 2, 120Hz AMOLED, Gaming ready"
Samsung M14 5G,Samsung,199,"Exynos 1330, 6000mAh battery, 90Hz LCD"
iPhone SE 3rd Gen,Apple,429,"A15 Bionic, Touch ID, Compact size"
